trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.5, 'e': 0.1}",20,12,14.511872353249725,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.1}",35,0,41.760089573942146,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.1}",35,0,-108.1428935829629,"{0: 29, 1: 2, 2: 0, 3: 1, 4: 3}",0
129,False,"{'a': 0.5, 'e': 0.1}",20,0,2.4674833666344997,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.1}",20,2,16.364261098506933,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.1}",30,2,21.164270819050255,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.1}",20,0,-29.89992635160703,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.1}",20,4,9.677076508016718,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.1}",20,0,6.809310157281015,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.1}",20,0,24.04005211788258,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.1}",35,10,22.49478789998605,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.1}",25,0,20.86188324319849,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.1}",20,0,-11.160616666164703,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.1}",20,0,-19.05049958551116,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.1}",20,14,7.044738456114408,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.1}",35,6,32.38154962776099,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.1}",20,5,2.5434866561731067,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.1}",20,0,-0.9711529335828925,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.1}",25,0,-24.52307286281318,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.1}",25,0,-0.016819307894221813,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.1}",20,0,-2.4157905216568336,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
